,DateTime,Open,High,Low,Close,Volume
0,2019-07-26,11.35,11.78,11.12,11.44,1166300
1,2019-07-29,11.29,11.65,10.98,11.2,325000
2,2019-07-30,11.15,11.4,10.99,11.35,513800
3,2019-07-31,11.36,11.415,11.013,11.25,264200
4,2019-08-01,11.3,11.75,11.03,11.39,872400
5,2019-08-02,11.38,11.59,11.16,11.52,174500
6,2019-08-05,11.45,11.5,10.61,10.81,373100
7,2019-08-06,10.82,11.3,10.82,10.99,109900
8,2019-08-07,10.95,11.39,10.565,11.04,272500
9,2019-08-08,11.13,11.4,11.094,11.31,347900
10,2019-08-09,11.03,11.95,11.0,11.75,323900
11,2019-08-12,11.7,11.77,11.22,11.74,542500
12,2019-08-13,11.73,11.95,11.73,11.92,138000
13,2019-08-14,11.91,12.0,11.55,11.87,805300
14,2019-08-15,11.98,11.98,10.7,11.07,361500
15,2019-08-16,10.89,11.47,10.71,11.04,392000
16,2019-08-19,11.47,11.975,11.05,11.21,287600
17,2019-08-20,11.51,11.76,10.0,10.36,485800
18,2019-08-21,10.45,10.46,9.85,10.16,243600
19,2019-08-22,10.09,10.258,9.38,9.44,369900
20,2019-08-23,9.42,9.7,8.56,8.66,318700
21,2019-08-26,8.64,8.71,8.01,8.67,379600
22,2019-08-27,8.61,9.24,8.3,9.15,391800
23,2019-08-28,9.19,10.59,9.08,10.16,506100
24,2019-08-29,10.3,10.5,9.55,10.32,260000
25,2019-08-30,10.26,10.66,10.13,10.56,74900
26,2019-09-03,10.57,11.22,10.553,10.76,402800
27,2019-09-04,10.86,11.0,10.61,10.83,229300
28,2019-09-05,10.93,11.32,10.53,11.01,231700
29,2019-09-06,10.95,11.88,10.91,11.52,191500
30,2019-09-09,11.53,11.53,10.51,10.68,331100
31,2019-09-10,10.65,10.87,10.18,10.34,179100
32,2019-09-11,10.28,10.75,10.09,10.31,218000
33,2019-09-12,10.36,10.55,9.88,10.16,104500
34,2019-09-13,10.18,10.34,10.1,10.26,111000
35,2019-09-16,10.25,10.47,10.16,10.28,162000
36,2019-09-17,10.19,10.7,10.01,10.44,138900
37,2019-09-18,10.51,10.65,10.33,10.46,369700
38,2019-09-19,10.41,10.56,10.33,10.36,356900
39,2019-09-20,10.42,10.56,10.31,10.42,1706100
40,2019-09-23,10.5,11.25,10.45,11.01,248200
41,2019-09-24,11.03,11.78,10.91,11.59,402200
42,2019-09-25,11.66,12.28,11.66,12.03,477400
43,2019-09-26,12.01,12.11,11.59,11.65,389900
44,2019-09-27,11.65,11.65,10.501,10.8,1823200
45,2019-09-30,10.88,10.96,10.61,10.75,313300
46,2019-10-01,10.8,10.8,10.15,10.2,159600
47,2019-10-02,10.11,10.32,9.83,10.05,193200
48,2019-10-03,10.05,10.09,9.78,9.85,262900
49,2019-10-04,9.84,9.928,9.48,9.58,157600
50,2019-10-07,9.7,9.85,9.42,9.78,118000
51,2019-10-08,9.69,9.69,9.45,9.63,92900
52,2019-10-09,9.67,9.67,9.31,9.44,119000
53,2019-10-10,9.42,10.05,9.31,10.0,218100
54,2019-10-11,10.07,10.3,9.92,10.16,222600
55,2019-10-14,10.1,10.22,10.01,10.09,121600
56,2019-10-15,10.17,10.27,9.97,10.04,177400
57,2019-10-16,10.03,10.33,10.03,10.23,179000
58,2019-10-17,10.25,10.68,10.25,10.63,299900
59,2019-10-18,10.6,10.79,10.55,10.7,105700
60,2019-10-21,10.73,11.18,10.69,10.94,158200
61,2019-10-22,10.97,11.14,10.51,10.63,114300
62,2019-10-23,10.6,10.63,10.38,10.51,94300
63,2019-10-24,10.42,10.755,10.15,10.55,191600
64,2019-10-25,10.48,10.91,10.48,10.81,170300
65,2019-10-28,10.95,11.31,10.83,10.97,296300
66,2019-10-29,10.96,11.07,10.79,11.05,146400
67,2019-10-30,11.03,11.12,10.87,10.99,121000
68,2019-10-31,11.48,11.5,10.49,10.62,198800
69,2019-11-01,10.62,11.1,10.57,11.06,333300
70,2019-11-04,11.21,11.57,11.04,11.14,175200
71,2019-11-05,11.12,11.35,10.9,10.94,513400
72,2019-11-06,10.84,10.95,10.2,10.37,105900
73,2019-11-07,10.42,10.48,9.655,9.85,150400
74,2019-11-08,9.83,9.97,9.61,9.68,125200
75,2019-11-11,9.65,10.24,9.62,10.17,323200
76,2019-11-12,10.27,11.07,10.27,10.57,276700
77,2019-11-13,10.51,10.58,9.61,9.89,278300
78,2019-11-14,9.92,10.75,9.82,10.6,245200
79,2019-11-15,10.67,10.8,10.482,10.72,140000
80,2019-11-18,10.8,10.8,10.32,10.62,96200
81,2019-11-19,10.68,10.82,10.45,10.61,149100
82,2019-11-20,10.53,10.66,10.15,10.24,266400
83,2019-11-21,10.22,10.475,10.2,10.39,87700
84,2019-11-22,10.47,10.51,9.97,10.13,143700
85,2019-11-25,10.04,10.28,10.03,10.04,85900
86,2019-11-26,10.01,10.07,9.85,9.97,68500
87,2019-11-27,10.04,10.43,9.95,10.22,209600
88,2019-11-29,10.32,10.55,10.14,10.28,27200
89,2019-12-02,10.24,10.28,9.85,10.02,80800
90,2019-12-03,9.91,9.945,9.74,9.9,83800
91,2019-12-04,9.99,9.99,9.55,9.69,52800
92,2019-12-05,9.68,9.68,9.41,9.52,79800
93,2019-12-06,9.5,9.79,9.47,9.68,70400
94,2019-12-09,9.68,9.68,9.58,9.66,70600
95,2019-12-10,9.59,9.74,9.46,9.59,66300
96,2019-12-11,9.6,9.6,9.2,9.31,92100
97,2019-12-12,9.36,10.01,9.23,9.75,550400
98,2019-12-13,9.78,10.39,9.64,10.28,148400
99,2019-12-16,10.45,10.655,10.13,10.4,185500
100,2019-12-17,10.3,11.22,10.3,11.05,194400
101,2019-12-18,11.1,11.18,10.89,11.06,88700
102,2019-12-19,11.0,11.18,10.85,10.98,90500
103,2019-12-20,10.97,11.98,10.97,11.49,596700
104,2019-12-23,11.49,11.7,11.301,11.42,334000
105,2019-12-24,11.36,11.71,11.07,11.58,105500
106,2019-12-26,11.65,11.74,11.37,11.69,170700
107,2019-12-27,11.79,11.86,11.371,11.63,136900
108,2019-12-30,11.74,12.04,11.7,11.9,401200
109,2019-12-31,12.03,12.464,10.946,11.16,220600
110,2020-01-02,11.27,11.72,11.175,11.29,179000
111,2020-01-03,11.35,11.84,11.348,11.5,214400
112,2020-01-06,11.75,11.819,11.35,11.42,186500
113,2020-01-07,11.44,11.89,11.42,11.52,180500
114,2020-01-08,11.48,11.65,11.45,11.53,165200
115,2020-01-09,11.6,11.635,11.31,11.37,121600
116,2020-01-10,11.43,11.45,11.1,11.18,212600
117,2020-01-13,11.28,11.43,11.23,11.27,85600
118,2020-01-14,11.37,11.41,10.99,11.09,380800
119,2020-01-15,11.16,11.505,11.137,11.39,194200
120,2020-01-16,11.56,11.789,11.43,11.67,200900
121,2020-01-17,11.74,12.4,11.61,12.32,216500
122,2020-01-21,12.3,12.84,12.3,12.71,620000
123,2020-01-22,12.75,12.91,12.5,12.89,808500
124,2020-01-23,12.91,13.4,12.885,13.04,853500
125,2020-01-24,13.15,13.66,13.01,13.15,772100
126,2020-01-27,13.19,13.35,12.85,12.91,134500
127,2020-01-28,13.07,13.33,12.96,13.2,250200
128,2020-01-29,13.25,13.32,13.11,13.31,268400
129,2020-01-30,13.35,13.91,13.27,13.68,1009600
130,2020-01-31,13.74,13.92,13.43,13.58,567400
131,2020-02-03,13.53,13.88,13.31,13.69,579800
132,2020-02-04,13.78,14.18,13.713,14.0,293900
133,2020-02-05,14.02,14.345,13.89,13.97,325700
134,2020-02-06,14.08,14.82,13.98,14.26,578600
135,2020-02-07,14.39,14.5,14.0,14.15,524500
136,2020-02-10,14.14,14.601,14.03,14.2,420300
137,2020-02-11,14.35,15.17,14.34,14.7,356200
138,2020-02-12,15.25,16.3,14.99,16.28,1096300
139,2020-02-13,16.41,16.97,15.756,16.0,417900
140,2020-02-14,16.01,16.28,15.49,16.21,291600
141,2020-02-18,16.19,16.89,16.08,16.24,275000
142,2020-02-19,16.5,18.265,16.5,18.04,696600
143,2020-02-20,18.51,19.33,17.86,19.31,544300
144,2020-02-21,19.04,19.06,17.56,17.86,463100
145,2020-02-24,17.5,18.101,17.41,17.55,692000
146,2020-02-25,18.43,19.765,16.77,17.94,1122200
147,2020-02-26,18.14,18.395,17.419,17.67,452900
148,2020-02-27,17.35,17.75,16.73,16.73,558900
149,2020-02-28,15.71,17.3,15.03,17.3,503700
150,2020-03-02,17.3,20.32,17.3,20.31,884800
151,2020-03-03,20.38,20.49,18.91,19.63,622200
152,2020-03-04,19.66,20.085,19.25,19.7,441000
153,2020-03-05,19.25,20.87,19.2,19.46,316300
154,2020-03-06,18.69,19.01,17.87,18.09,417500
155,2020-03-09,15.09,16.9,15.09,16.82,626000
156,2020-03-10,17.36,18.395,16.4,17.03,510700
157,2020-03-11,16.7,16.72,15.38,15.89,905800
158,2020-03-12,14.5,15.14,11.5,11.5,594600
159,2020-03-13,12.16,12.3,10.21,11.15,641300
160,2020-03-16,10.15,10.49,8.41,9.02,637900
161,2020-03-17,9.23,9.46,8.12,9.33,673500
162,2020-03-18,8.87,8.88,6.12,7.0,694700
163,2020-03-19,7.0,8.21,6.57,7.43,969700
164,2020-03-20,7.82,12.43,7.673,10.17,4998900
165,2020-03-23,10.63,11.17,7.59,10.03,831800
166,2020-03-24,10.51,11.92,10.04,10.9,874900
167,2020-03-25,11.17,12.49,10.21,11.93,705500
168,2020-03-26,11.97,13.6,11.93,12.61,604400
169,2020-03-27,12.04,12.19,10.745,10.91,527200
170,2020-03-30,10.83,10.83,9.82,10.14,691000
171,2020-03-31,10.15,10.4,9.73,10.07,667200
172,2020-04-01,9.52,10.06,9.152,9.8,504300
173,2020-04-02,9.82,10.11,9.45,9.94,547900
174,2020-04-03,9.77,9.92,8.655,9.06,750100
175,2020-04-06,9.51,9.72,9.06,9.45,789600
176,2020-04-07,10.4,10.86,9.95,10.68,758700
177,2020-04-08,10.73,11.33,10.46,11.16,749100
178,2020-04-09,11.21,12.28,11.21,11.76,786100
179,2020-04-13,11.91,12.18,10.51,11.32,659300
180,2020-04-14,11.53,13.405,11.53,12.88,1196200
181,2020-04-15,12.51,12.61,11.125,11.71,995400
182,2020-04-16,12.01,12.15,10.21,10.62,620400
183,2020-04-17,11.12,11.35,10.88,10.99,569800
184,2020-04-20,10.9,11.5,10.581,11.12,427100
185,2020-04-21,10.95,11.07,9.98,10.69,671500
186,2020-04-22,11.07,11.68,10.7,11.58,338400
187,2020-04-23,11.64,12.54,11.599,12.3,459800
188,2020-04-24,12.26,12.5,11.18,11.3,414200
189,2020-04-27,11.39,12.22,11.39,12.09,333600
190,2020-04-28,12.3,12.71,12.15,12.41,337600
191,2020-04-29,12.67,14.25,12.445,13.92,854400
192,2020-04-30,13.7,13.97,12.37,12.6,822900
193,2020-05-01,12.31,12.59,11.18,11.53,649100
194,2020-05-04,11.13,11.69,11.01,11.66,236000
195,2020-05-05,11.87,12.1,11.29,11.33,234800
196,2020-05-06,11.48,11.79,11.0,11.44,356600
197,2020-05-07,11.65,12.71,11.473,12.71,408100
198,2020-05-08,12.99,14.15,12.81,13.94,499700
199,2020-05-11,13.33,13.77,12.81,13.7,380900
200,2020-05-12,13.72,14.89,13.071,13.94,388600
201,2020-05-13,13.78,14.66,12.605,13.13,518800
202,2020-05-14,12.47,14.14,12.3,13.9,530800
203,2020-05-15,13.94,14.5,12.84,14.12,560200
204,2020-05-18,14.87,15.78,14.22,15.75,495600
205,2020-05-19,14.94,15.74,14.85,14.9,521400
206,2020-05-20,14.7,15.39,13.84,14.07,320400
207,2020-05-21,14.03,14.18,13.456,13.57,258300
208,2020-05-22,13.86,13.95,13.52,13.71,313700
209,2020-05-26,14.64,14.9,14.18,14.64,487000
210,2020-05-27,15.0,15.05,13.16,14.48,519900
211,2020-05-28,14.93,15.301,14.29,14.74,368200
212,2020-05-29,14.64,15.28,14.32,15.0,774700
213,2020-06-01,15.19,16.58,14.9,16.44,639400
214,2020-06-02,16.61,16.74,15.37,15.6,278000
215,2020-06-03,15.99,16.98,15.86,16.4,361900
216,2020-06-04,16.34,16.48,15.42,15.68,574800
217,2020-06-05,16.28,16.45,15.55,15.99,434000
218,2020-06-08,16.32,16.7,15.87,16.37,891400
219,2020-06-09,16.03,16.7,15.74,16.38,404300
220,2020-06-10,16.33,16.67,16.005,16.42,515400
221,2020-06-11,15.59,16.0,13.85,13.93,508000
222,2020-06-12,15.0,16.46,14.4,16.36,535200
223,2020-06-15,16.72,18.41,16.42,18.08,817900
224,2020-06-16,18.81,19.03,17.84,17.95,849500
225,2020-06-17,17.91,19.003,17.49,17.79,641900
226,2020-06-18,17.57,19.13,17.47,18.96,642500
227,2020-06-19,19.13,20.09,18.84,19.83,1345400
228,2020-06-22,19.9,20.01,19.12,19.4,713700
229,2020-06-23,19.57,19.85,19.27,19.51,591000
230,2020-06-24,19.18,19.52,18.6,19.21,467300
231,2020-06-25,19.47,19.47,18.82,19.11,408400
232,2020-06-26,19.0,19.11,18.4,18.85,671300
233,2020-06-29,18.02,18.5,15.89,17.55,1030400
234,2020-06-30,17.2,17.24,16.11,17.07,1103700
235,2020-07-01,17.81,18.46,17.01,17.51,2423200
236,2020-07-02,17.93,18.27,17.522,17.58,607800
237,2020-07-06,18.39,19.27,18.22,18.82,914000
238,2020-07-07,18.91,19.79,18.87,18.97,778200
239,2020-07-08,18.62,19.79,18.21,19.26,1053800
240,2020-07-09,19.7,19.789,18.71,19.1,603000
241,2020-07-10,19.31,19.35,18.27,19.03,525000
242,2020-07-13,19.15,19.355,18.52,18.6,957600
243,2020-07-14,18.71,19.69,18.71,19.51,1518200
244,2020-07-15,20.37,20.93,19.34,19.4,1389800
245,2020-07-16,19.18,20.12,17.5,19.72,1202500
246,2020-07-17,19.68,21.0,19.13,20.94,1058700
247,2020-07-20,20.95,22.48,20.36,20.79,1746300
248,2020-07-21,21.26,21.57,20.44,20.51,789600
249,2020-07-22,21.05,22.26,21.01,21.84,1661800
250,2020-07-23,21.84,22.87,21.675,22.0,1212500
251,2020-07-24,21.81,22.59,21.01,22.3,688100
252,2020-07-27,23.22,24.75,23.14,23.75,1467900
253,2020-07-28,23.74,24.6,23.05,23.61,991500
254,2020-07-29,23.6,24.13,23.3,23.74,1120600
255,2020-07-30,24.12,25.55,22.86,24.45,1737500
256,2020-07-31,24.58,25.67,24.09,25.01,892700
257,2020-08-03,25.18,26.36,23.96,25.52,1207800
258,2020-08-04,25.86,26.745,25.65,26.55,1046000
259,2020-08-05,26.44,27.72,25.25,27.5,1298300
260,2020-08-06,27.45,28.7,26.97,27.66,805800
261,2020-08-07,27.25,28.73,27.18,27.73,697100
262,2020-08-10,27.85,29.61,27.82,28.59,1160000
263,2020-08-11,28.83,29.0,25.91,26.86,1622700
264,2020-08-12,26.97,28.039,26.562,26.98,807100
265,2020-08-13,27.17,28.535,27.05,28.2,809300
266,2020-08-14,26.24,26.35,23.9,24.29,7310200
267,2020-08-17,24.98,25.09,23.8,24.4,2366700
268,2020-08-18,25.09,25.15,23.43,24.3,1818200
269,2020-08-19,24.19,25.0,23.98,24.16,1155600
270,2020-08-20,24.08,24.35,23.24,23.35,832900
271,2020-08-21,23.35,24.55,23.07,23.76,957200
272,2020-08-24,24.05,24.25,23.39,23.54,648300
273,2020-08-25,23.5,25.05,23.31,25.04,1146400
274,2020-08-26,24.94,26.11,23.89,24.2,1121200
275,2020-08-27,24.61,25.66,24.3,24.75,1112500
276,2020-08-28,24.77,25.07,24.35,24.54,987900
277,2020-08-31,24.5,24.62,23.13,23.72,1309200
278,2020-09-01,23.58,23.9,23.161,23.7,1287800
279,2020-09-02,24.52,24.74,23.54,23.82,1089200
280,2020-09-03,23.55,23.85,21.91,22.35,1489100
281,2020-09-04,22.12,22.37,18.82,21.44,2434200
282,2020-09-08,21.04,22.4,20.51,22.09,1546000
283,2020-09-09,22.33,24.08,22.33,23.6,2092100
284,2020-09-10,23.57,24.255,23.28,23.45,2193500
285,2020-09-11,23.59,23.93,23.06,23.26,797600
286,2020-09-14,23.7,25.07,23.23,24.98,1109500
287,2020-09-15,25.38,27.0,25.23,26.42,1101100
288,2020-09-16,26.42,27.19,25.93,26.22,839600
289,2020-09-17,25.7,26.23,24.52,24.69,1036900
290,2020-09-18,25.23,26.352,24.86,25.14,4949700
291,2020-09-21,24.5,25.91,24.158,25.85,824000
292,2020-09-22,26.02,26.49,25.26,26.09,778600
293,2020-09-23,26.39,26.9,25.41,25.89,1193700
294,2020-09-24,25.45,26.33,24.37,25.46,1187900
295,2020-09-25,25.52,26.62,25.151,26.52,1626700
296,2020-09-28,27.01,28.29,26.58,26.79,1669000
297,2020-09-29,26.05,26.99,23.46,26.93,3639500
298,2020-09-30,27.42,30.676,27.2,30.41,3949400
299,2020-10-01,30.7,31.26,29.67,30.11,3350600
300,2020-10-02,29.25,33.01,28.0,28.57,4242300
301,2020-10-05,28.93,29.56,28.6,28.73,1687900
302,2020-10-06,29.05,29.42,27.68,28.05,2004100
303,2020-10-07,28.98,30.45,28.87,28.99,2333600
304,2020-10-08,29.75,30.3,27.26,28.02,2000700
305,2020-10-09,28.14,29.54,28.14,29.36,1027600
306,2020-10-12,30.17,30.64,28.02,28.35,2251000
307,2020-10-13,28.39,29.81,28.39,28.44,1655100
308,2020-10-14,29.27,29.91,28.77,29.64,1633900
309,2020-10-15,28.97,30.3,28.07,28.37,2892500
310,2020-10-16,28.67,29.59,27.85,29.0,4944200
311,2020-10-19,29.3,30.91,28.74,29.97,2528200
312,2020-10-20,30.15,32.45,30.15,30.77,3062700
313,2020-10-21,31.09,31.39,26.64,26.74,3209000
314,2020-10-22,26.75,27.2,25.191,26.57,2316600
315,2020-10-23,27.25,27.69,26.11,26.86,1213500
316,2020-10-26,26.23,27.48,25.523,25.93,1063300
317,2020-10-27,26.22,26.9,25.53,26.25,895500
318,2020-10-28,26.0,26.87,25.42,26.54,1748900
319,2020-10-29,26.17,26.25,24.81,25.56,2465900
320,2020-10-30,25.12,25.3,23.65,24.06,1863500
321,2020-11-02,24.25,26.11,24.24,26.02,1719500
322,2020-11-03,26.23,28.74,26.23,28.31,2133200
323,2020-11-04,27.0,28.89,25.83,28.72,2217100
324,2020-11-05,29.72,33.07,29.72,31.93,2740700
325,2020-11-06,32.36,35.95,32.25,33.2,2475500
326,2020-11-09,35.0,36.48,32.01,32.44,2323000
327,2020-11-10,33.02,33.29,30.67,31.51,1768400
328,2020-11-11,32.11,34.98,32.11,33.27,1764900
329,2020-11-12,33.78,34.78,32.17,32.37,1921900
330,2020-11-13,33.145,33.24,31.83,32.66,912000
331,2020-11-16,32.61,34.36,32.38,34.1,1316800
332,2020-11-17,34.11,35.5,33.5,35.14,1128100
333,2020-11-18,35.64,36.2,32.84,32.9,1822600
334,2020-11-19,33.13,33.925,31.61,31.98,1709400
335,2020-11-20,32.22,35.24,31.79,34.78,1716300
336,2020-11-23,35.32,38.56,35.32,38.21,2579100
337,2020-11-24,39.85,41.51,38.59,39.79,2798000
338,2020-11-25,39.83,42.66,39.01,42.56,1865800
339,2020-11-27,43.19,45.31,42.665,45.0,1987400
340,2020-11-30,45.47,46.0,39.86,40.51,2707600
341,2020-12-01,39.79,42.91,38.9,40.11,6013600
342,2020-12-02,39.23,40.085,36.82,38.62,2105600
343,2020-12-03,39.39,40.035,38.13,38.91,1950500
344,2020-12-04,39.45,40.74,38.57,39.28,1296800
345,2020-12-07,39.42,39.5,37.82,38.72,1069300
346,2020-12-08,38.55,40.085,38.37,39.55,1263000
347,2020-12-09,40.59,41.2,36.81,38.48,1954500
348,2020-12-10,38.01,39.655,36.5,39.44,1265700
349,2020-12-11,39.5,40.11,38.58,39.31,1003900
350,2020-12-14,39.78,40.14,38.56,38.59,842400
351,2020-12-15,39.53,44.0,39.25,42.97,2640500
352,2020-12-16,42.99,43.15,39.15,40.96,3234900
353,2020-12-17,41.75,42.46,39.94,41.8,2031500
354,2020-12-18,41.99,44.61,41.44,42.35,4281900
355,2020-12-21,41.25,46.43,40.76,46.08,2127400
356,2020-12-22,46.64,48.74,45.05,46.95,2605100
357,2020-12-23,47.57,48.73,45.803,47.0,1543700
358,2020-12-24,46.6,46.96,44.53,45.8,742700
359,2020-12-28,48.0,48.84,43.65,43.92,2029600
360,2020-12-29,44.13,44.36,41.13,41.83,1385900
361,2020-12-30,42.35,45.035,42.1,44.26,2261800
362,2020-12-31,43.94,46.11,43.5,45.13,1199400
363,2021-01-04,47.47,49.34,44.158,45.04,2329600
364,2021-01-05,45.59,46.9,44.65,46.23,1980400
365,2021-01-06,50.0,52.19,47.66,50.31,4264500
366,2021-01-07,54.41,57.7,51.89,52.63,2865600
367,2021-01-08,53.48,54.99,51.4,52.36,1975100
368,2021-01-11,50.76,53.74,49.6,51.81,1313500
369,2021-01-12,51.51,53.252,48.15,50.25,2503200
370,2021-01-13,51.13,51.97,48.76,50.78,2139400
371,2021-01-14,51.11,52.464,49.43,49.59,1612500
372,2021-01-15,49.06,50.13,46.52,47.48,2163800
373,2021-01-19,48.85,49.99,46.54,49.33,2162100
374,2021-01-20,50.19,53.98,49.76,50.04,2430800
